,team,opponent,date,min,win_or_lose,score,FGM,FGA,FG%,FG3M,FG3A,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
0,CHA,CHI,04/14/2010,240,L,89,32,80,40.0,3,14,21.4,22,26,84.6,9,24,33,20,15,7,13,21,-9
1,CHI,CHA,04/14/2010,240,W,98,36,76,47.4,6,18,33.3,20,25,80.0,13,28,41,18,7,6,18,22,9
2,OKC,MEM,04/14/2010,240,W,114,42,79,53.2,10,25,40.0,20,25,80.0,10,32,42,25,4,9,14,25,9
3,MEM,OKC,04/14/2010,240,L,105,39,85,45.9,1,9,11.1,26,33,78.8,11,28,39,19,7,2,10,17,-9
4,TOR,NYK,04/14/2010,240,W,131,52,80,65.0,7,14,50.0,20,25,80.0,4,29,33,28,9,5,11,20,18
5,NYK,TOR,04/14/2010,240,L,113,39,90,43.3,15,33,45.5,20,26,76.9,18,20,38,22,6,1,15,19,-18
6,WAS,IND,04/14/2010,240,W,98,37,77,48.1,4,15,26.7,20,27,74.1,9,38,47,20,9,4,20,23,1
7,IND,WAS,04/14/2010,240,L,97,33,83,39.8,3,22,13.6,28,32,87.5,13,29,42,15,8,3,15,22,-1
8,MIN,DET,04/14/2010,240,L,98,38,77,49.4,3,12,25.0,19,24,79.2,12,27,39,23,6,7,17,24,-5
9,DET,MIN,04/14/2010,240,W,103,38,79,48.1,4,17,23.5,23,30,76.7,12,23,35,16,11,5,13,21,5
10,CLE,ATL,04/14/2010,240,L,83,31,73,42.5,1,14,7.1,20,36,55.6,9,26,35,18,11,2,15,18,-16
11,ATL,CLE,04/14/2010,240,W,99,43,79,54.4,2,11,18.2,11,17,64.7,9,33,42,26,9,2,19,22,16
12,DAL,SAS,04/14/2010,240,W,96,35,85,41.2,6,14,42.9,20,28,71.4,10,37,47,22,8,7,12,15,7
13,SAS,DAL,04/14/2010,240,L,89,37,91,40.7,2,22,9.1,13,20,65.0,11,41,52,18,9,3,11,17,-7
14,PHX,UTA,04/14/2010,240,W,100,35,74,47.3,10,27,37.0,20,27,74.1,7,35,42,21,10,10,15,23,14
15,UTA,PHX,04/14/2010,240,L,86,30,80,37.5,7,19,36.8,19,24,79.2,10,31,41,17,5,2,19,26,-14
16,POR,GSW,04/14/2010,240,L,116,44,87,50.6,10,26,38.5,18,24,75.0,9,34,43,32,3,2,14,21,-6
17,GSW,POR,04/14/2010,240,W,122,44,88,50.0,12,30,40.0,22,31,71.0,9,31,40,22,10,4,8,18,6
18,NJN,MIA,04/14/2010,290,L,86,29,80,36.3,5,19,26.3,23,32,71.9,15,39,54,12,3,5,20,15,-8
19,MIA,NJN,04/14/2010,290,W,94,37,93,39.8,8,26,30.8,12,16,75.0,15,34,49,15,10,8,15,26,8
20,HOU,NOH,04/14/2010,240,L,115,47,87,54.0,6,19,31.6,15,25,60.0,9,23,32,31,8,6,10,19,-8
21,NOH,HOU,04/14/2010,240,W,123,51,80,63.8,9,15,60.0,12,16,75.0,5,32,37,28,6,2,14,17,8
22,PHI,ORL,04/14/2010,240,L,111,43,83,51.8,6,19,31.6,19,24,79.2,9,22,31,23,6,5,8,17,-14
23,ORL,PHI,04/14/2010,240,W,125,49,82,59.8,11,25,44.0,16,20,80.0,8,31,39,21,4,2,12,18,14
24,LAL,LAC,04/14/2010,240,L,91,34,86,39.5,4,11,36.4,19,28,67.9,16,33,49,20,3,2,14,16,-16
25,LAC,LAL,04/14/2010,240,W,107,42,83,50.6,9,23,39.1,14,19,73.7,9,39,48,31,9,7,12,21,16
26,BOS,MIL,04/14/2010,240,L,95,36,76,47.4,8,22,36.4,15,21,71.4,7,27,34,23,4,3,9,22,-11
27,MIL,BOS,04/14/2010,240,W,106,40,79,50.6,10,26,38.5,16,24,66.7,11,30,41,25,6,2,8,20,11
28,PHX,DEN,04/13/2010,240,W,123,43,80,53.8,14,24,58.3,23,34,67.6,14,38,52,23,3,7,13,22,22
29,DEN,PHX,04/13/2010,240,L,101,41,97,42.3,6,21,28.6,13,21,61.9,12,22,34,15,7,5,6,26,-22
30,BOS,CHI,04/13/2010,240,L,93,35,80,43.8,5,15,33.3,18,24,75.0,8,32,40,18,4,3,9,24,-8
31,CHI,BOS,04/13/2010,240,W,101,40,83,48.2,5,11,45.5,16,24,66.7,11,38,49,22,1,6,10,21,8
32,SAC,LAL,04/13/2010,240,L,100,43,90,47.8,5,16,31.3,9,14,64.3,15,26,41,27,10,3,12,21,-6
33,LAL,SAC,04/13/2010,240,W,106,41,83,49.4,7,20,35.0,17,21,81.0,14,25,39,24,2,5,16,15,6
34,GSW,UTA,04/13/2010,240,L,94,32,84,38.1,7,23,30.4,23,28,82.1,6,29,35,20,11,4,14,19,-9
35,UTA,GSW,04/13/2010,240,W,103,41,85,48.2,5,18,27.8,16,20,80.0,15,46,61,29,10,3,22,23,9
36,DEN,MEM,04/12/2010,240,W,123,40,87,46.0,11,32,34.4,32,39,82.1,11,37,48,24,9,11,9,24,22
37,MEM,DEN,04/12/2010,240,L,101,36,92,39.1,2,10,20.0,27,36,75.0,14,33,47,17,6,9,13,27,-22
38,HOU,SAC,04/12/2010,240,W,117,43,83,51.8,8,24,33.3,23,23,100,6,29,35,22,5,5,14,17,10
39,SAC,HOU,04/12/2010,240,L,107,41,85,48.2,5,12,41.7,20,24,83.3,7,29,36,21,9,2,13,20,-10
40,ATL,MIL,04/12/2010,240,W,104,39,74,52.7,7,16,43.8,19,27,70.4,11,37,48,17,4,11,12,21,8
41,MIL,ATL,04/12/2010,240,L,96,36,93,38.7,11,32,34.4,13,17,76.5,11,23,34,20,5,1,4,22,-8
42,IND,ORL,04/12/2010,240,L,98,36,88,40.9,10,29,34.5,16,24,66.7,9,29,38,20,9,2,14,23,-20
43,ORL,IND,04/12/2010,240,W,118,37,77,48.1,12,32,37.5,32,43,74.4,7,46,53,22,12,6,17,21,20
44,POR,OKC,04/12/2010,240,W,103,40,80,50.0,3,15,20.0,20,27,74.1,8,27,35,20,7,3,8,23,8
45,OKC,POR,04/12/2010,240,L,95,30,64,46.9,7,18,38.9,28,36,77.8,8,27,35,11,5,3,16,25,-8
46,DET,TOR,04/12/2010,240,L,97,37,79,46.8,5,17,29.4,18,23,78.3,11,23,34,20,7,5,10,17,-14
47,TOR,DET,04/12/2010,240,W,111,45,75,60.0,9,15,60.0,12,16,75.0,4,30,34,37,1,3,14,21,14
48,DAL,LAC,04/12/2010,240,W,117,45,83,54.2,11,27,40.7,16,19,84.2,8,29,37,37,6,4,10,15,23
49,LAC,DAL,04/12/2010,240,L,94,38,83,45.8,6,17,35.3,12,15,80.0,11,28,39,23,5,3,16,19,-23
50,NJN,CHA,04/12/2010,240,L,95,35,89,39.3,4,24,16.7,21,25,84.0,15,28,43,18,8,4,11,17,-10
51,CHA,NJN,04/12/2010,240,W,105,43,87,49.4,3,7,42.9,16,17,94.1,11,36,47,31,3,5,15,19,10
