,team,opponent,date,min,win_or_lose,score,FGM,FGA,FG%,FG3M,FG3A,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
0,DEN,GSW,04/16/2014,240,L,112,37,84,44.0,9,34,26.5,29,35,82.9,9,33,42,23,4,4,19,28,-4
1,GSW,DEN,04/16/2014,240,W,116,44,90,48.9,8,23,34.8,20,35,57.1,11,34,45,27,12,4,14,23,4
2,CHI,CHA,04/16/2014,265,L,86,34,86,39.5,8,22,36.4,10,15,66.7,6,38,44,21,7,4,12,22,-5
3,CHA,CHI,04/16/2014,265,W,91,34,85,40.0,5,21,23.8,18,26,69.2,12,41,53,23,8,7,11,14,5
4,NOP,HOU,04/16/2014,240,W,105,43,82,52.4,6,12,50.0,13,20,65.0,11,31,42,24,10,10,10,18,5
5,HOU,NOP,04/16/2014,240,L,100,35,81,43.2,14,30,46.7,16,24,66.7,13,28,41,23,3,4,14,16,-5
6,MEM,DAL,04/16/2014,265,W,106,43,88,48.9,5,20,25.0,15,25,60.0,20,28,48,25,7,1,17,16,1
7,DAL,MEM,04/16/2014,265,L,105,44,92,47.8,8,30,26.7,9,11,81.8,15,24,39,22,11,4,13,23,-1
8,OKC,DET,04/16/2014,240,W,112,38,86,44.2,5,23,21.7,31,41,75.6,24,25,49,23,10,7,15,22,1
9,DET,OKC,04/16/2014,240,L,111,42,83,50.6,8,19,42.1,19,31,61.3,15,26,41,20,6,3,17,28,-1
10,MIN,UTA,04/16/2014,290,L,130,40,97,41.2,8,25,32.0,42,54,77.8,13,32,45,24,12,5,15,24,-6
11,UTA,MIN,04/16/2014,290,W,136,53,108,49.1,6,24,25.0,24,29,82.8,22,38,60,30,10,9,19,34,6
12,PHX,SAC,04/16/2014,240,W,104,40,86,46.5,8,20,40.0,16,22,72.7,7,33,40,16,9,5,11,21,5
13,SAC,PHX,04/16/2014,240,L,99,37,86,43.0,4,19,21.1,21,30,70.0,13,41,54,19,8,3,17,20,-5
14,MIL,ATL,04/16/2014,240,L,103,40,77,51.9,7,18,38.9,16,21,76.2,11,32,43,25,5,5,22,21,-8
15,ATL,MIL,04/16/2014,240,W,111,41,76,53.9,8,24,33.3,21,26,80.8,4,26,30,29,13,2,12,18,8
16,LAC,POR,04/16/2014,240,L,104,34,84,40.5,8,34,23.5,28,33,84.8,8,34,42,20,4,4,8,20,-6
17,POR,LAC,04/16/2014,240,W,110,42,101,41.6,10,26,38.5,16,22,72.7,24,41,65,29,5,2,10,23,6
18,PHI,MIA,04/16/2014,240,W,100,38,74,51.4,10,23,43.5,14,16,87.5,5,30,35,24,15,5,21,22,13
19,MIA,PHI,04/16/2014,240,L,87,30,73,41.1,10,30,33.3,17,22,77.3,9,25,34,16,8,2,22,16,-13
20,BKN,CLE,04/16/2014,240,L,85,30,79,38.0,8,25,32.0,17,23,73.9,6,30,36,21,9,1,16,16,-29
21,CLE,BKN,04/16/2014,240,W,114,46,87,52.9,8,20,40.0,14,17,82.4,13,38,51,32,10,7,12,18,29
22,ORL,IND,04/16/2014,240,L,86,32,79,40.5,5,15,33.3,17,24,70.8,9,31,40,14,9,5,10,16,-15
23,IND,ORL,04/16/2014,240,W,101,41,88,46.6,11,23,47.8,8,11,72.7,15,37,52,26,5,2,12,17,15
24,BOS,WAS,04/16/2014,240,L,102,39,84,46.4,7,30,23.3,17,23,73.9,11,26,37,24,8,1,14,16,-16
25,WAS,BOS,04/16/2014,240,W,118,50,88,56.8,6,18,33.3,12,17,70.6,6,30,36,26,6,2,12,20,16
26,TOR,NYK,04/16/2014,240,L,92,36,80,45.0,9,29,31.0,11,18,61.1,12,36,48,20,9,2,25,20,-3
27,NYK,TOR,04/16/2014,240,W,95,37,81,45.7,8,17,47.1,13,19,68.4,11,25,36,13,12,6,16,23,3
28,SAS,LAL,04/16/2014,240,L,100,41,99,41.4,10,30,33.3,8,10,80.0,10,39,49,25,3,6,10,19,-13
29,LAL,SAS,04/16/2014,240,W,113,45,91,49.5,11,27,40.7,12,17,70.6,6,44,50,29,4,2,9,17,13
30,DEN,LAC,04/15/2014,240,L,105,35,82,42.7,8,29,27.6,27,30,90.0,13,30,43,20,10,4,19,26,-12
31,LAC,DEN,04/15/2014,240,W,117,44,83,53.0,9,24,37.5,20,30,66.7,7,34,41,29,11,4,15,21,12
32,NYK,BKN,04/15/2014,240,W,109,32,67,47.8,11,21,52.4,34,40,85.0,8,28,36,15,11,5,16,28,11
33,BKN,NYK,04/15/2014,240,L,98,33,75,44.0,10,25,40.0,22,31,71.0,12,26,38,25,10,1,20,26,-11
34,OKC,NOP,04/14/2014,240,L,89,31,77,40.3,9,32,28.1,18,22,81.8,11,32,43,21,6,4,18,22,-12
35,NOP,OKC,04/14/2014,240,W,101,35,79,44.3,9,29,31.0,22,30,73.3,10,29,39,19,8,5,10,18,12
36,TOR,MIL,04/14/2014,240,W,110,38,81,46.9,14,32,43.8,20,26,76.9,15,31,46,25,11,0,14,22,10
37,MIL,TOR,04/14/2014,240,L,100,38,73,52.1,6,10,60.0,18,26,69.2,6,26,32,21,7,3,16,21,-10
38,MIA,WAS,04/14/2014,240,L,93,36,80,45.0,7,27,25.9,14,16,87.5,5,26,31,23,11,3,13,15,-21
39,WAS,MIA,04/14/2014,240,W,114,46,78,59.0,14,29,48.3,8,15,53.3,8,34,42,36,9,3,17,19,21
40,CHA,ATL,04/14/2014,240,W,95,35,80,43.8,6,25,24.0,19,31,61.3,12,36,48,27,3,2,10,20,2
41,ATL,CHA,04/14/2014,240,L,93,34,79,43.0,8,30,26.7,17,23,73.9,5,34,39,27,6,3,8,21,-2
42,LAL,UTA,04/14/2014,240,W,119,45,82,54.9,10,24,41.7,19,22,86.4,9,27,36,31,11,6,13,16,15
43,UTA,LAL,04/14/2014,240,L,104,42,81,51.9,6,19,31.6,14,20,70.0,9,28,37,25,5,4,18,16,-15
44,HOU,SAS,04/14/2014,240,W,104,38,85,44.7,4,22,18.2,24,29,82.8,11,39,50,18,4,2,6,16,6
45,SAS,HOU,04/14/2014,240,L,98,39,89,43.8,4,17,23.5,16,18,88.9,8,35,43,24,3,2,6,23,-6
46,PHX,MEM,04/14/2014,240,L,91,38,80,47.5,5,26,19.2,10,14,71.4,8,22,30,15,12,6,12,20,-6
47,MEM,PHX,04/14/2014,240,W,97,40,77,51.9,6,15,40.0,11,15,73.3,10,32,42,20,5,1,19,18,6
48,CHI,ORL,04/14/2014,240,W,108,39,77,50.6,5,13,38.5,25,32,78.1,8,28,36,27,8,3,9,19,13
49,ORL,CHI,04/14/2014,240,L,95,36,72,50.0,7,15,46.7,16,19,84.2,4,28,32,26,4,6,20,27,-13
50,MIN,GSW,04/14/2014,240,L,120,43,81,53.1,8,15,53.3,26,33,78.8,10,33,43,37,7,3,21,16,-10
51,GSW,MIN,04/14/2014,240,W,130,49,101,48.5,15,37,40.5,17,19,89.5,19,32,51,31,13,4,15,27,10
52,BOS,PHI,04/14/2014,240,L,108,40,86,46.5,9,24,37.5,19,26,73.1,12,28,40,26,8,4,19,23,-5
53,PHI,BOS,04/14/2014,240,W,113,43,79,54.4,3,12,25.0,24,38,63.2,9,33,42,25,10,8,14,21,5
54,SAC,MIN,04/13/2014,240,W,106,41,82,50.0,6,17,35.3,18,27,66.7,8,39,47,25,6,6,15,23,3
55,MIN,SAC,04/13/2014,240,L,103,35,88,39.8,7,22,31.8,26,30,86.7,10,31,41,26,6,5,10,20,-3
56,IND,OKC,04/13/2014,240,W,102,38,72,52.8,9,20,45.0,17,23,73.9,10,36,46,23,3,4,23,21,5
57,OKC,IND,04/13/2014,240,L,97,36,84,42.9,7,28,25.0,18,19,94.7,8,24,32,21,12,4,9,24,-5
58,GSW,POR,04/13/2014,265,L,117,44,91,48.4,17,37,45.9,12,16,75.0,6,32,38,22,10,0,15,27,-2
59,POR,GSW,04/13/2014,265,W,119,43,86,50.0,10,24,41.7,23,32,71.9,7,39,46,26,7,3,14,12,2
60,DET,TOR,04/13/2014,240,L,107,35,84,41.7,5,20,25.0,32,48,66.7,21,34,55,25,6,4,15,29,-9
61,TOR,DET,04/13/2014,240,W,116,39,81,48.1,9,23,39.1,29,35,82.9,8,32,40,22,8,6,10,35,9
62,ORL,BKN,04/13/2014,240,L,88,35,74,47.3,8,20,40.0,10,14,71.4,8,23,31,22,13,2,20,23,-9
63,BKN,ORL,04/13/2014,240,W,97,34,73,46.6,12,29,41.4,17,23,73.9,14,29,43,23,11,5,23,16,9
64,CHI,NYK,04/13/2014,240,L,89,29,74,39.2,6,22,27.3,25,32,78.1,12,33,45,23,4,1,16,19,-11
65,NYK,CHI,04/13/2014,240,W,100,37,81,45.7,9,25,36.0,17,21,81.0,7,29,36,16,9,5,9,25,11
66,LAL,MEM,04/13/2014,240,L,90,35,80,43.8,11,27,40.7,9,11,81.8,5,27,32,29,9,5,17,15,-12
67,MEM,LAL,04/13/2014,240,W,102,42,88,47.7,8,15,53.3,10,13,76.9,16,36,52,29,10,7,17,12,12
68,PHI,CHA,04/12/2014,240,L,105,41,93,44.1,5,25,20.0,18,26,69.2,11,29,40,18,8,1,9,30,-6
69,CHA,PHI,04/12/2014,240,W,111,39,72,54.2,7,19,36.8,26,41,63.4,9,32,41,23,3,9,15,22,6
70,MIL,WAS,04/12/2014,240,L,91,32,68,47.1,5,8,62.5,22,34,64.7,13,29,42,20,5,3,20,16,-13
71,WAS,MIL,04/12/2014,240,W,104,40,84,47.6,8,22,36.4,16,19,84.2,8,28,36,25,7,5,11,23,13
72,DEN,UTA,04/12/2014,240,W,101,35,84,41.7,7,22,31.8,24,29,82.8,14,38,52,23,5,5,18,26,7
73,UTA,DEN,04/12/2014,240,L,94,34,79,43.0,2,13,15.4,24,32,75.0,8,31,39,20,13,6,14,23,-7
74,ATL,MIA,04/12/2014,240,W,98,36,78,46.2,10,22,45.5,16,19,84.2,5,33,38,24,13,2,13,22,13
75,MIA,ATL,04/12/2014,240,L,85,35,73,47.9,6,25,24.0,9,19,47.4,6,38,44,18,5,5,20,20,-13
76,DAL,PHX,04/12/2014,240,W,101,39,79,49.4,11,24,45.8,12,15,80.0,9,33,42,21,11,5,19,18,3
77,PHX,DAL,04/12/2014,240,L,98,36,78,46.2,8,17,47.1,18,23,78.3,12,29,41,14,16,4,18,18,-3
78,NOP,HOU,04/12/2014,240,L,104,39,88,44.3,9,22,40.9,17,21,81.0,8,31,39,20,7,8,11,26,-7
79,HOU,NOP,04/12/2014,240,W,111,35,74,47.3,10,27,37.0,31,39,79.5,6,30,36,23,10,8,13,19,7
80,CLE,BOS,04/12/2014,240,L,99,37,90,41.1,5,18,27.8,20,30,66.7,15,34,49,22,2,2,12,20,-12
81,BOS,CLE,04/12/2014,240,W,111,42,90,46.7,12,30,40.0,15,18,83.3,7,40,47,27,5,5,11,24,12
82,LAC,SAC,04/12/2014,240,W,117,41,81,50.6,9,19,47.4,26,36,72.2,10,33,43,31,6,8,11,26,16
83,SAC,LAC,04/12/2014,240,L,101,35,82,42.7,4,9,44.4,27,33,81.8,12,26,38,21,5,4,10,26,-16
84,MEM,PHI,04/11/2014,240,W,117,44,81,54.3,5,13,38.5,24,32,75.0,10,39,49,28,8,8,16,15,22
85,PHI,MEM,04/11/2014,240,L,95,39,88,44.3,6,18,33.3,11,17,64.7,8,28,36,16,14,3,15,26,-22
86,OKC,NOP,04/11/2014,240,W,116,44,82,53.7,5,13,38.5,23,27,85.2,8,39,47,28,8,12,11,21,22
87,NOP,OKC,04/11/2014,240,L,94,35,86,40.7,9,18,50.0,15,19,78.9,8,27,35,24,4,4,15,20,-22
88,NYK,TOR,04/11/2014,240,W,108,35,73,47.9,6,24,25.0,32,36,88.9,7,32,39,16,6,3,8,24,8
89,TOR,NYK,04/11/2014,240,L,100,30,76,39.5,15,33,45.5,25,31,80.6,14,28,42,16,2,4,16,24,-8
90,HOU,MIN,04/11/2014,240,L,110,36,83,43.4,11,25,44.0,27,36,75.0,15,37,52,22,12,4,22,32,-2
91,MIN,HOU,04/11/2014,240,W,112,41,94,43.6,3,12,25.0,27,40,67.5,18,32,50,22,13,8,15,25,2
92,MIL,CLE,04/11/2014,240,W,119,44,84,52.4,6,16,37.5,25,38,65.8,14,27,41,20,5,4,12,22,3
