,team,opponent,date,min,win_or_lose,score,FGM,FGA,FG%,FG3M,FG3A,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
0,NOP,SAS,04/11/2018,240,W,122,52,88,59.1,5,19,26.3,13,19,68.4,11,40,51,30,11,5,19,20,24
1,SAS,NOP,04/11/2018,240,L,98,37,92,40.2,8,24,33.3,16,19,84.2,12,26,38,22,9,1,17,17,-24
2,OKC,MEM,04/11/2018,240,W,137,47,85,55.3,20,43,46.5,23,32,71.9,8,37,45,32,8,3,14,23,14
3,MEM,OKC,04/11/2018,240,L,123,44,91,48.4,13,31,41.9,22,24,91.7,9,32,41,22,9,2,13,22,-14
4,MIN,DEN,04/11/2018,265,W,112,42,89,47.2,9,23,39.1,19,25,76.0,8,32,40,24,10,2,8,19,6
5,DEN,MIN,04/11/2018,265,L,106,41,90,45.6,13,32,40.6,11,18,61.1,10,37,47,19,4,4,15,22,-6
6,HOU,SAC,04/11/2018,240,L,83,31,82,37.8,13,46,28.3,8,12,66.7,8,32,40,11,2,6,14,24,-13
7,SAC,HOU,04/11/2018,240,W,96,38,80,47.5,7,26,26.9,13,20,65.0,6,42,48,22,6,3,11,14,13
8,POR,UTA,04/11/2018,240,W,102,41,89,46.1,9,24,37.5,11,16,68.8,7,39,46,19,9,9,10,22,9
9,UTA,POR,04/11/2018,240,L,93,33,89,37.1,8,23,34.8,19,24,79.2,14,39,53,18,5,7,15,19,-9
10,TOR,MIA,04/11/2018,265,L,109,42,92,45.7,9,30,30.0,16,21,76.2,9,38,47,24,5,10,14,24,-7
11,MIA,TOR,04/11/2018,265,W,116,46,106,43.4,11,26,42.3,13,20,65.0,19,37,56,26,8,7,9,18,7
12,NYK,CLE,04/11/2018,240,W,110,43,85,50.6,12,27,44.4,12,13,92.3,8,31,39,30,10,3,15,22,12
13,CLE,NYK,04/11/2018,240,L,98,37,94,39.4,6,24,25.0,18,28,64.3,17,31,48,15,9,3,16,15,-12
14,ORL,WAS,04/11/2018,240,W,101,33,77,42.9,13,32,40.6,22,27,81.5,6,36,42,20,6,7,16,27,9
15,WAS,ORL,04/11/2018,240,L,92,33,95,34.7,10,34,29.4,16,27,59.3,18,32,50,17,5,1,12,25,-9
16,LAC,LAL,04/11/2018,240,L,100,41,83,49.4,6,18,33.3,12,28,42.9,8,33,41,27,8,1,17,17,-15
17,LAL,LAC,04/11/2018,240,W,115,42,88,47.7,17,39,43.6,14,16,87.5,10,39,49,25,8,6,17,23,15
18,BKN,BOS,04/11/2018,240,L,97,37,91,40.7,11,40,27.5,12,16,75.0,10,34,44,27,10,6,16,12,-13
19,BOS,BKN,04/11/2018,240,W,110,46,102,45.1,6,24,25.0,12,15,80.0,20,42,62,22,6,6,14,14,13
20,DET,CHI,04/11/2018,240,W,119,47,89,52.8,15,35,42.9,10,10,100,7,40,47,27,12,4,12,21,32
21,CHI,DET,04/11/2018,240,L,87,32,86,37.2,11,34,32.4,12,18,66.7,12,28,40,21,8,1,19,15,-32
22,PHI,MIL,04/11/2018,240,W,130,52,105,49.5,15,36,41.7,11,15,73.3,17,40,57,35,15,7,12,17,35
23,MIL,PHI,04/11/2018,240,L,95,37,90,41.1,7,25,28.0,14,16,87.5,10,33,43,22,6,5,20,17,-35
