,team,opponent,date,min,win_or_lose,score,FGM,FGA,FG%,FG3M,FG3A,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
0,GSW,MEM,04/10/2019,240,L,117,46,92,50.0,13,30,43.3,12,14,85.7,9,30,39,32,3,5,14,17,-15
1,MEM,GSW,04/10/2019,240,W,132,48,98,49.0,21,46,45.7,15,18,83.3,15,34,49,25,9,0,11,18,15
2,CHA,ORL,04/10/2019,240,L,114,41,78,52.6,8,29,27.6,24,27,88.9,4,28,32,21,3,4,8,14,-8
3,ORL,CHA,04/10/2019,240,W,122,48,88,54.5,11,30,36.7,15,20,75.0,9,30,39,24,5,2,6,19,8
4,DEN,MIN,04/10/2019,240,W,99,39,87,44.8,10,33,30.3,11,17,64.7,12,41,53,23,6,4,13,12,4
5,MIN,DEN,04/10/2019,240,L,95,39,91,42.9,13,32,40.6,4,6,66.7,7,34,41,24,6,0,10,22,-4
6,IND,ATL,04/10/2019,240,W,135,45,98,45.9,12,30,40.0,33,39,84.6,13,30,43,22,12,7,8,28,1
7,ATL,IND,04/10/2019,240,L,134,43,103,41.7,17,41,41.5,31,38,81.6,22,39,61,29,5,7,17,25,-1
8,OKC,MIL,04/10/2019,240,W,127,48,99,48.5,23,54,42.6,8,13,61.5,9,44,53,40,7,3,13,20,11
9,MIL,OKC,04/10/2019,240,L,116,43,100,43.0,15,46,32.6,15,21,71.4,11,42,53,27,7,1,15,14,-11
10,SAC,POR,04/10/2019,240,L,131,50,96,52.1,18,43,41.9,13,16,81.3,12,23,35,25,5,1,10,17,-5
11,POR,SAC,04/10/2019,240,W,136,53,91,58.2,14,24,58.3,16,22,72.7,14,30,44,19,5,2,13,17,5
12,UTA,LAC,04/10/2019,265,L,137,47,106,44.3,14,35,40.0,29,33,87.9,17,40,57,31,8,11,17,24,-6
13,LAC,UTA,04/10/2019,265,W,143,54,106,50.9,12,28,42.9,23,30,76.7,12,40,52,34,7,5,12,27,6
14,BKN,MIA,04/10/2019,240,W,113,43,114,37.7,21,58,36.2,6,7,85.7,20,48,68,29,7,3,12,13,19
15,MIA,BKN,04/10/2019,240,L,94,38,98,38.8,8,41,19.5,10,15,66.7,8,46,54,22,9,4,15,12,-19
16,NYK,DET,04/10/2019,240,L,89,31,77,40.3,9,30,30.0,18,25,72.0,4,29,33,23,7,5,11,17,-26
17,DET,NYK,04/10/2019,240,W,115,41,85,48.2,14,33,42.4,19,20,95.0,11,45,56,25,5,2,14,23,26
18,DAL,SAS,04/10/2019,240,L,94,37,91,40.7,11,37,29.7,9,12,75.0,7,35,42,27,5,4,7,19,-11
19,SAS,DAL,04/10/2019,240,W,105,41,88,46.6,8,24,33.3,15,18,83.3,8,45,53,22,6,2,11,14,11
20,CHI,PHI,04/10/2019,240,L,109,45,95,47.4,9,24,37.5,10,15,66.7,9,30,39,21,4,3,8,13,-16
21,PHI,CHI,04/10/2019,240,W,125,52,93,55.9,12,26,46.2,9,15,60.0,9,38,47,30,4,10,7,11,16
22,NOP,GSW,04/09/2019,240,L,103,44,99,44.4,9,33,27.3,6,10,60.0,7,35,42,29,9,1,10,15,-9
23,GSW,NOP,04/09/2019,240,W,112,43,89,48.3,12,30,40.0,14,21,66.7,11,47,58,25,8,3,15,17,9
24,OKC,HOU,04/09/2019,240,W,112,40,96,41.7,16,41,39.0,16,20,80.0,18,38,56,20,5,2,12,19,1
25,HOU,OKC,04/09/2019,240,L,111,38,88,43.2,18,53,34.0,17,20,85.0,9,33,42,18,7,7,11,21,-1
26,WAS,BOS,04/09/2019,240,L,110,41,97,42.3,14,39,35.9,14,18,77.8,13,45,58,28,2,3,15,18,-6
27,BOS,WAS,04/09/2019,240,W,116,45,99,45.5,15,44,34.1,11,23,47.8,13,37,50,27,10,3,6,17,6
28,MIN,TOR,04/09/2019,240,L,100,38,91,41.8,13,42,31.0,11,14,78.6,5,30,35,26,10,9,12,16,-20
29,TOR,MIN,04/09/2019,240,W,120,46,88,52.3,16,37,43.2,12,17,70.6,7,47,54,24,10,5,18,17,20
30,PHX,DAL,04/09/2019,240,L,109,38,88,43.2,13,35,37.1,20,28,71.4,5,33,38,21,13,6,14,22,-11
31,DAL,PHX,04/09/2019,240,W,120,41,91,45.1,16,40,40.0,22,27,81.5,18,46,64,28,6,6,22,24,11
32,UTA,DEN,04/09/2019,240,W,118,41,78,52.6,10,27,37.0,26,34,76.5,9,39,48,24,5,5,15,21,10
33,DEN,UTA,04/09/2019,240,L,108,41,88,46.6,12,25,48.0,14,22,63.6,3,28,31,24,9,3,7,28,-10
34,MEM,DET,04/09/2019,240,L,93,33,69,47.8,10,24,41.7,17,21,81.0,7,36,43,19,4,6,22,24,-7
35,DET,MEM,04/09/2019,240,W,100,35,88,39.8,10,34,29.4,20,28,71.4,14,26,40,16,13,4,9,21,7
36,PHI,MIA,04/09/2019,240,L,99,40,98,40.8,5,25,20.0,14,16,87.5,11,35,46,22,11,0,15,19,-23
37,MIA,PHI,04/09/2019,240,W,122,46,87,52.9,13,27,48.1,17,23,73.9,7,37,44,29,6,10,15,18,23
38,CLE,CHA,04/09/2019,240,L,97,40,89,44.9,11,30,36.7,6,8,75.0,14,27,41,24,3,2,14,18,-27
39,CHA,CLE,04/09/2019,240,W,124,45,78,57.7,22,44,50.0,12,17,70.6,5,32,37,35,8,7,10,13,27
40,NYK,CHI,04/09/2019,240,W,96,37,93,39.8,14,40,35.0,8,13,61.5,11,50,61,17,0,10,9,16,10
41,CHI,NYK,04/09/2019,240,L,86,30,83,36.1,7,22,31.8,19,29,65.5,6,44,50,14,7,4,7,18,-10
42,LAL,POR,04/09/2019,240,L,101,40,94,42.6,10,29,34.5,11,17,64.7,17,34,51,29,6,6,17,19,-3
43,POR,LAL,04/09/2019,240,W,104,37,90,41.1,11,37,29.7,19,22,86.4,11,34,45,18,8,10,14,14,3
44,DAL,MEM,04/07/2019,265,W,129,45,98,45.9,12,41,29.3,27,34,79.4,11,40,51,31,4,5,7,23,2
45,MEM,DAL,04/07/2019,265,L,127,42,98,42.9,19,44,43.2,24,28,85.7,10,43,53,32,4,4,9,24,-2
46,MIA,TOR,04/07/2019,265,L,109,41,100,41.0,13,34,38.2,14,19,73.7,12,43,55,27,5,2,12,22,-8
47,TOR,MIA,04/07/2019,265,W,117,39,87,44.8,16,41,39.0,23,27,85.2,4,43,47,26,7,5,11,17,8
48,MIN,OKC,04/07/2019,240,L,126,46,85,54.1,10,23,43.5,24,29,82.8,6,26,32,29,9,5,13,24,-6
49,OKC,MIN,04/07/2019,240,W,132,48,92,52.2,14,34,41.2,22,26,84.6,14,32,46,27,6,4,14,30,6
50,SAC,NOP,04/07/2019,240,L,129,50,109,45.9,16,40,40.0,13,17,76.5,16,31,47,27,10,4,6,13,-4
51,NOP,SAC,04/07/2019,240,W,133,52,101,51.5,19,42,45.2,10,12,83.3,14,41,55,28,4,11,16,16,4
52,IND,BKN,04/07/2019,240,L,96,41,85,48.2,10,27,37.0,4,7,57.1,5,28,33,27,6,3,13,18,-12
53,BKN,IND,04/07/2019,240,W,108,40,88,45.5,11,36,30.6,17,22,77.3,17,35,52,23,7,4,16,13,12
54,MIL,ATL,04/07/2019,240,W,115,40,91,44.0,9,41,22.0,26,34,76.5,11,50,61,19,8,10,14,23,8
55,ATL,MIL,04/07/2019,240,L,107,40,100,40.0,17,45,37.8,10,19,52.6,9,39,48,25,2,3,11,28,-8
