,team,opponent,date,min,win_or_lose,score,FGM,FGA,FG%,FG3M,FG3A,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
0,ATL,CHA,04/13/2011,240,L,85,34,79,43.0,1,8,12.5,16,20,80.0,10,27,37,16,3,7,14,15,-11
1,CHA,ATL,04/13/2011,240,W,96,40,80,50.0,3,10,30.0,13,16,81.3,7,30,37,27,7,7,9,16,11
2,OKC,MIL,04/13/2011,265,L,106,42,88,47.7,8,20,40.0,14,18,77.8,13,39,52,26,9,7,24,20,-4
3,MIL,OKC,04/13/2011,265,W,110,40,88,45.5,7,18,38.9,23,27,85.2,8,26,34,22,15,6,13,15,4
4,MIA,TOR,04/13/2011,240,W,97,37,81,45.7,13,26,50.0,10,14,71.4,13,27,40,20,6,1,15,18,18
5,TOR,MIA,04/13/2011,240,L,79,28,64,43.8,1,8,12.5,22,34,64.7,10,23,33,16,8,8,17,15,-18
6,MIN,HOU,04/13/2011,240,L,102,41,92,44.6,4,13,30.8,16,21,76.2,12,30,42,20,9,2,15,22,-19
7,HOU,MIN,04/13/2011,240,W,121,42,84,50.0,12,31,38.7,25,32,78.1,12,36,48,32,5,3,15,18,19
8,SAC,LAL,04/13/2011,265,L,108,45,99,45.5,7,24,29.2,11,19,57.9,16,37,53,24,5,6,12,20,-8
9,LAL,SAC,04/13/2011,265,W,116,45,91,49.5,6,16,37.5,20,22,90.9,4,39,43,30,8,4,12,17,8
10,DAL,NOH,04/13/2011,240,W,121,40,73,54.8,13,28,46.4,28,34,82.4,6,36,42,32,7,1,14,17,32
11,NOH,DAL,04/13/2011,240,L,89,34,79,43.0,6,14,42.9,15,17,88.2,5,30,35,23,7,1,14,28,-32
12,DEN,UTA,04/13/2011,240,L,103,39,77,50.6,3,14,21.4,22,26,84.6,8,29,37,15,7,3,16,18,-4
13,UTA,DEN,04/13/2011,240,W,107,39,77,50.6,8,15,53.3,21,26,80.8,10,27,37,25,11,5,16,20,4
14,CLE,WAS,04/13/2011,240,W,100,35,83,42.2,5,21,23.8,25,29,86.2,13,27,40,23,3,6,13,13,7
15,WAS,CLE,04/13/2011,240,L,93,39,90,43.3,4,12,33.3,11,15,73.3,17,27,44,24,11,10,16,25,-7
16,IND,ORL,04/13/2011,240,L,74,27,88,30.7,9,25,36.0,11,16,68.8,9,26,35,16,11,1,18,23,-18
17,ORL,IND,04/13/2011,240,W,92,32,73,43.8,8,26,30.8,20,25,80.0,12,43,55,17,8,4,28,18,18
18,MEM,LAC,04/13/2011,240,L,103,36,84,42.9,7,15,46.7,24,28,85.7,13,26,39,25,8,4,21,24,-7
19,LAC,MEM,04/13/2011,240,W,110,44,81,54.3,3,15,20.0,19,27,70.4,12,25,37,36,16,7,18,26,7
20,NYK,BOS,04/13/2011,240,L,102,39,85,45.9,7,23,30.4,17,21,81.0,12,25,37,22,8,5,16,16,-10
21,BOS,NYK,04/13/2011,240,W,112,48,85,56.5,8,17,47.1,8,13,61.5,5,35,40,19,9,1,16,21,10
22,SAS,PHX,04/13/2011,240,L,103,35,82,42.7,5,21,23.8,28,37,75.7,12,39,51,19,2,4,8,25,-3
23,PHX,SAS,04/13/2011,240,W,106,37,92,40.2,8,19,42.1,24,29,82.8,14,32,46,23,3,3,6,28,3
24,CHI,NJN,04/13/2011,240,W,97,34,79,43.0,7,21,33.3,22,27,81.5,15,30,45,23,3,9,13,20,5
25,NJN,CHI,04/13/2011,240,L,92,36,80,45.0,6,15,40.0,14,16,87.5,8,27,35,21,6,6,13,19,-5
26,POR,GSW,04/13/2011,240,L,86,28,83,33.7,11,26,42.3,19,25,76.0,17,31,48,18,6,1,21,15,-24
27,GSW,POR,04/13/2011,240,W,110,45,88,51.1,10,23,43.5,10,15,66.7,9,32,41,33,15,7,12,21,24
28,DET,PHI,04/13/2011,240,W,104,37,76,48.7,6,17,35.3,24,31,77.4,4,37,41,26,5,5,11,17,4
29,PHI,DET,04/13/2011,240,L,100,39,91,42.9,8,24,33.3,14,16,87.5,9,31,40,27,6,6,9,22,-4
30,MEM,POR,04/12/2011,240,L,89,36,79,45.6,6,12,50.0,11,18,61.1,15,27,42,16,3,2,15,23,-13
31,POR,MEM,04/12/2011,240,W,102,36,80,45.0,9,18,50.0,21,23,91.3,14,25,39,23,9,7,11,15,13
32,CHI,NYK,04/12/2011,240,W,103,36,83,43.4,7,20,35.0,24,27,88.9,12,39,51,20,6,4,13,18,13
33,NYK,CHI,04/12/2011,240,L,90,34,83,41.0,8,31,25.8,14,17,82.4,5,28,33,19,10,5,12,20,-13
34,LAL,SAS,04/12/2011,240,W,102,36,79,45.6,5,19,26.3,25,28,89.3,7,38,45,24,1,3,12,23,9
35,SAS,LAL,04/12/2011,240,L,93,31,88,35.2,9,25,36.0,22,24,91.7,11,31,42,18,5,2,9,23,-9
36,UTA,NOH,04/11/2011,240,W,90,37,67,55.2,6,16,37.5,10,15,66.7,3,29,32,25,6,8,15,18,12
37,NOH,UTA,04/11/2011,240,L,78,28,74,37.8,4,11,36.4,18,26,69.2,13,29,42,16,11,1,15,17,-12
38,WAS,BOS,04/11/2011,265,W,95,34,85,40.0,2,5,40.0,25,32,78.1,10,36,46,14,13,11,18,31,1
39,BOS,WAS,04/11/2011,265,L,94,32,84,38.1,2,7,28.6,28,34,82.4,13,36,49,20,10,10,21,25,-1
40,DEN,GSW,04/11/2011,240,W,134,50,94,53.2,10,23,43.5,24,35,68.6,10,39,49,31,8,8,8,18,23
41,GSW,DEN,04/11/2011,240,L,111,40,90,44.4,13,25,52.0,18,21,85.7,9,28,37,20,5,6,12,24,-23
42,SAC,OKC,04/11/2011,240,L,112,35,85,41.2,4,20,20.0,38,42,90.5,16,24,40,21,15,2,13,25,-8
43,OKC,SAC,04/11/2011,240,W,120,43,75,57.3,2,10,20.0,32,37,86.5,9,31,40,20,9,11,19,26,8
