,team,opponent,date,min,win_or_lose,score,FGM,FGA,FG%,FG3M,FG3A,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
0,DAL,SEA,04/18/2007,240,W,106,43,81,53.1,4,13,30.8,16,18,88.9,10,28,38,26,7,5,10,21,31
1,SEA,DAL,04/18/2007,240,L,75,29,69,42.0,1,7,14.3,16,24,66.7,7,24,31,13,5,3,18,17,-31
2,CHA,NYK,04/18/2007,240,L,93,37,81,45.7,8,15,53.3,11,19,57.9,6,23,29,25,12,1,13,28,-1
3,NYK,CHA,04/18/2007,240,W,94,34,74,45.9,4,13,30.8,22,34,64.7,17,36,53,14,6,4,23,22,1
4,TOR,PHI,04/18/2007,240,L,119,46,86,53.5,7,19,36.8,20,25,80.0,9,24,33,32,8,3,13,27,-3
5,PHI,TOR,04/18/2007,240,W,122,44,83,53.0,5,9,55.6,29,35,82.9,12,29,41,22,4,5,15,25,3
6,MIN,MEM,04/18/2007,240,L,94,38,96,39.6,5,16,31.3,13,21,61.9,21,21,42,20,5,3,13,21,-22
7,MEM,MIN,04/18/2007,240,W,116,46,87,52.9,2,11,18.2,22,28,78.6,14,35,49,37,6,7,11,20,22
8,LAL,SAC,04/18/2007,240,W,117,45,79,57.0,2,14,14.3,25,31,80.6,11,36,47,19,6,6,14,26,11
9,SAC,LAL,04/18/2007,240,L,106,40,83,48.2,7,25,28.0,19,33,57.6,9,21,30,21,5,3,10,23,-11
10,IND,WAS,04/18/2007,240,L,95,34,79,43.0,8,16,50.0,19,25,76.0,8,32,40,11,7,2,12,30,-3
11,WAS,IND,04/18/2007,240,W,98,31,65,47.7,4,13,30.8,32,44,72.7,4,35,39,17,6,8,11,22,3
12,UTA,HOU,04/18/2007,240,W,101,36,73,49.3,4,11,36.4,25,35,71.4,11,34,45,23,5,0,17,22,10
13,HOU,UTA,04/18/2007,240,L,91,31,74,41.9,6,25,24.0,23,26,88.5,5,20,25,17,8,2,12,29,-10
14,GSW,POR,04/18/2007,240,W,120,48,91,52.7,11,29,37.9,13,19,68.4,11,33,44,37,11,1,15,21,22
15,POR,GSW,04/18/2007,240,L,98,33,77,42.9,2,14,14.3,30,34,88.2,9,30,39,22,8,2,19,19,-22
16,MIL,CLE,04/18/2007,240,L,96,35,78,44.9,12,29,41.4,14,19,73.7,4,26,30,20,7,0,15,20,-13
17,CLE,MIL,04/18/2007,240,W,109,43,89,48.3,6,17,35.3,17,26,65.4,19,34,53,30,9,5,15,18,13
18,ORL,MIA,04/18/2007,240,W,94,35,79,44.3,6,17,35.3,18,29,62.1,15,37,52,23,7,4,11,15,26
