,team,opponent,date,min,win_or_lose,score,FGM,FGA,FG%,FG3M,FG3A,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
0,CHA,PHI,04/16/2008,240,W,115,45,79,57.0,6,17,35.3,19,24,79.2,11,24,35,34,5,11,11,18,6
1,PHI,CHA,04/16/2008,240,L,109,45,95,47.4,10,21,47.6,9,14,64.3,19,24,43,25,10,1,8,23,-6
2,MIN,MIL,04/16/2008,265,W,110,41,99,41.4,8,19,42.1,20,27,74.1,14,37,51,21,8,4,9,21,9
3,MIL,MIN,04/16/2008,265,L,101,42,94,44.7,3,13,23.1,14,18,77.8,13,41,54,26,5,5,17,21,-9
4,MEM,DEN,04/16/2008,240,L,111,43,103,41.7,12,36,33.3,13,16,81.3,6,41,47,31,6,5,13,24,-9
5,DEN,MEM,04/16/2008,240,W,120,44,95,46.3,7,26,26.9,25,32,78.1,7,46,53,27,6,8,14,19,9
6,NOH,DAL,04/16/2008,240,L,98,38,83,45.8,5,13,38.5,17,23,73.9,13,30,43,18,6,10,9,25,-13
7,DAL,NOH,04/16/2008,240,W,111,39,89,43.8,10,27,37.0,23,25,92.0,14,31,45,21,3,2,7,17,13
8,NYK,IND,04/16/2008,240,L,123,42,103,40.8,9,27,33.3,30,34,88.2,14,31,45,21,11,5,13,26,-9
9,IND,NYK,04/16/2008,240,W,132,44,87,50.6,11,19,57.9,33,39,84.6,10,38,48,30,6,9,19,19,9
10,ATL,MIA,04/16/2008,240,L,99,37,78,47.4,3,11,27.3,22,29,75.9,9,35,44,20,7,6,13,14,-14
11,MIA,ATL,04/16/2008,240,W,113,44,92,47.8,14,37,37.8,11,15,73.3,10,27,37,30,8,5,8,25,14
12,LAC,HOU,04/16/2008,240,L,75,28,75,37.3,3,8,37.5,16,17,94.1,11,34,45,12,2,5,16,16,-18
13,HOU,LAC,04/16/2008,240,W,93,38,92,41.3,8,28,28.6,9,14,64.3,15,32,47,25,8,3,6,14,18
14,DET,CLE,04/16/2008,240,W,84,32,83,38.6,5,14,35.7,15,18,83.3,16,34,50,21,3,7,10,22,10
15,CLE,DET,04/16/2008,240,L,74,26,79,32.9,0,9,0.0,22,32,68.8,18,32,50,13,7,2,10,13,-10
16,WAS,ORL,04/16/2008,240,L,83,36,76,47.4,4,16,25.0,7,13,53.8,11,30,41,20,4,1,13,15,-20
17,ORL,WAS,04/16/2008,240,W,103,41,88,46.6,12,30,40.0,9,16,56.3,16,27,43,29,6,2,8,11,20
18,BOS,NJN,04/16/2008,240,W,105,37,82,45.1,8,15,53.3,23,30,76.7,12,32,44,22,10,6,13,24,11
19,NJN,BOS,04/16/2008,240,L,94,31,71,43.7,8,19,42.1,24,30,80.0,4,32,36,28,7,4,15,20,-11
20,POR,PHX,04/16/2008,240,L,91,36,90,40.0,7,22,31.8,12,19,63.2,9,27,36,14,7,5,4,19,-9
21,PHX,POR,04/16/2008,240,W,100,36,76,47.4,6,15,40.0,22,27,81.5,10,47,57,28,3,3,13,17,9
22,CHI,TOR,04/16/2008,240,W,107,39,81,48.1,1,15,6.7,28,33,84.8,15,35,50,26,8,6,17,15,10
23,TOR,CHI,04/16/2008,240,L,97,39,90,43.3,6,14,42.9,13,17,76.5,11,26,37,21,11,4,13,26,-10
24,SAS,UTA,04/16/2008,240,W,109,41,69,59.4,8,16,50.0,19,26,73.1,5,34,39,25,9,4,13,19,29
25,UTA,SAS,04/16/2008,240,L,80,31,81,38.3,2,12,16.7,16,19,84.2,10,26,36,19,6,2,15,19,-29
26,GSW,SEA,04/16/2008,240,L,121,47,110,42.7,15,45,33.3,12,16,75.0,21,29,50,24,6,6,12,16,-5
27,SEA,GSW,04/16/2008,240,W,126,52,94,55.3,5,10,50.0,17,22,77.3,12,43,55,32,8,5,14,16,5
28,NOH,LAC,04/15/2008,240,W,114,43,85,50.6,7,23,30.4,21,23,91.3,9,29,38,23,10,5,5,15,22
29,LAC,NOH,04/15/2008,240,L,92,34,72,47.2,6,14,42.9,18,24,75.0,5,31,36,24,4,3,16,15,-22
30,ORL,ATL,04/15/2008,240,W,121,47,82,57.3,11,23,47.8,16,22,72.7,6,33,39,29,11,4,12,19,16
31,ATL,ORL,04/15/2008,240,L,105,41,88,46.6,6,18,33.3,17,22,77.3,12,27,39,28,6,2,16,17,-16
32,POR,MEM,04/15/2008,240,W,113,41,81,50.6,13,26,50.0,18,24,75.0,11,34,45,31,6,1,9,28,22
33,MEM,POR,04/15/2008,240,L,91,35,83,42.2,5,28,17.9,16,30,53.3,17,30,47,22,6,4,12,18,-22
34,DET,MIN,04/15/2008,240,W,115,40,79,50.6,7,14,50.0,28,34,82.4,10,29,39,24,8,9,15,21,12
35,MIN,DET,04/15/2008,240,L,103,41,85,48.2,7,17,41.2,14,23,60.9,11,24,35,23,11,7,11,22,-12
36,NJN,CHA,04/15/2008,265,W,112,37,82,45.1,9,24,37.5,29,37,78.4,7,33,40,32,9,6,16,14,4
37,CHA,NJN,04/15/2008,265,L,108,39,91,42.9,6,17,35.3,24,27,88.9,13,39,52,20,10,3,18,27,-4
38,SAC,LAL,04/15/2008,240,L,101,38,86,44.2,8,13,61.5,17,20,85.0,10,31,41,22,9,4,21,25,-23
39,LAL,SAC,04/15/2008,240,W,124,43,86,50.0,7,18,38.9,31,36,86.1,13,32,45,32,11,10,15,18,23
40,TOR,MIA,04/14/2008,240,W,91,35,76,46.1,7,18,38.9,14,17,82.4,12,30,42,27,9,9,12,11,16
41,MIA,TOR,04/14/2008,240,L,75,30,81,37.0,9,25,36.0,6,6,100,11,27,38,19,5,4,17,16,-16
