,team,opponent,date,min,win_or_lose,score,FGM,FGA,FG%,FG3M,FG3A,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
0,BOS,MIA,04/19/2006,240,W,85,27,75,36.0,4,15,26.7,27,32,84.4,10,41,51,10,10,6,16,24,7
1,MIA,BOS,04/19/2006,240,L,78,23,71,32.4,5,13,38.5,27,37,73.0,7,35,42,12,9,3,15,23,-7
2,MIN,MEM,04/19/2006,290,L,92,34,97,35.1,6,25,24.0,18,23,78.3,11,34,45,23,11,5,17,18,-10
3,MEM,MIN,04/19/2006,290,W,102,41,92,44.6,12,20,60.0,8,11,72.7,12,43,55,28,8,9,21,20,10
4,NYK,NJN,04/19/2006,240,W,90,33,62,53.2,3,15,20.0,21,28,75.0,9,28,37,24,4,7,18,16,7
5,NJN,NYK,04/19/2006,240,L,83,32,81,39.5,8,24,33.3,11,14,78.6,15,21,36,24,9,1,12,23,-7
6,DEN,SEA,04/19/2006,240,L,98,39,88,44.3,8,25,32.0,12,17,70.6,10,35,45,25,12,4,25,24,-11
7,SEA,DEN,04/19/2006,240,W,109,36,79,45.6,12,26,46.2,25,27,92.6,3,27,30,23,13,7,16,17,11
8,CHA,PHI,04/19/2006,240,W,96,37,83,44.6,6,16,37.5,16,19,84.2,14,25,39,21,14,5,15,19,10
9,PHI,CHA,04/19/2006,240,L,86,32,61,52.5,6,14,42.9,16,22,72.7,3,29,32,18,7,2,24,22,-10
10,DAL,LAC,04/19/2006,240,L,71,26,70,37.1,1,5,20.0,18,33,54.5,10,31,41,6,8,8,12,19,-14
11,LAC,DAL,04/19/2006,240,W,85,34,72,47.2,2,10,20.0,15,19,78.9,8,38,46,13,7,5,14,24,14
12,ORL,IND,04/19/2006,240,L,83,32,88,36.4,3,8,37.5,16,22,72.7,17,20,37,8,10,4,10,26,-6
13,IND,ORL,04/19/2006,240,W,89,31,71,43.7,5,16,31.3,22,30,73.3,20,34,54,13,4,11,17,24,6
14,UTA,GSW,04/19/2006,240,W,105,42,77,54.5,6,12,50.0,15,26,57.7,10,34,44,32,5,9,14,26,3
15,GSW,UTA,04/19/2006,240,L,102,36,90,40.0,6,21,28.6,24,33,72.7,22,23,45,16,8,5,12,25,-3
16,PHX,POR,04/19/2006,240,W,106,44,95,46.3,13,28,46.4,5,8,62.5,19,35,54,32,7,2,20,24,10
17,POR,PHX,04/19/2006,240,L,96,33,76,43.4,4,18,22.2,26,33,78.8,9,30,39,18,11,3,15,18,-10
18,WAS,DET,04/19/2006,240,W,96,37,91,40.7,6,25,24.0,16,22,72.7,15,29,44,18,8,2,12,13,16
19,DET,WAS,04/19/2006,240,L,80,31,77,40.3,5,19,26.3,13,22,59.1,7,34,41,19,9,9,17,20,-16
20,HOU,SAS,04/19/2006,240,L,87,34,76,44.7,3,14,21.4,16,24,66.7,11,31,42,17,11,3,19,24,-2
21,SAS,HOU,04/19/2006,240,W,89,30,78,38.5,12,26,46.2,17,23,73.9,12,23,35,21,13,7,16,17,2
22,ATL,CLE,04/19/2006,240,L,99,34,80,42.5,6,19,31.6,25,32,78.1,7,27,34,19,9,7,9,29,-1
23,CLE,ATL,04/19/2006,240,W,100,33,73,45.2,6,13,46.2,28,41,68.3,16,38,54,16,5,5,21,22,1
24,CHI,TOR,04/19/2006,240,W,127,49,90,54.4,7,20,35.0,22,29,75.9,14,43,57,31,3,2,16,28,21
25,TOR,CHI,04/19/2006,240,L,106,33,94,35.1,9,21,42.9,31,35,88.6,13,27,40,15,8,2,9,26,-21
26,LAL,NOK,04/19/2006,240,W,115,45,87,51.7,11,27,40.7,14,16,87.5,8,30,38,22,8,4,10,17,20
27,NOK,LAL,04/19/2006,240,L,95,40,84,47.6,4,10,40.0,11,16,68.8,9,30,39,23,3,0,15,19,-20
28,WAS,MIL,04/18/2006,240,W,116,39,80,48.8,7,21,33.3,31,41,75.6,17,25,42,21,10,0,10,22,13
