,team,opponent,date,min,win_or_lose,score,FGM,FGA,FG%,FG3M,FG3A,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
0,NYK,CHA,04/26/2012,240,W,104,44,85,51.8,8,20,40.0,8,15,53.3,6,30,36,31,7,6,11,21,20
1,CHA,NYK,04/26/2012,240,L,84,32,74,43.2,6,16,37.5,14,26,53.8,8,31,39,20,5,9,16,16,-20
2,ORL,MEM,04/26/2012,240,L,76,30,73,41.1,7,26,26.9,9,15,60.0,8,26,34,14,9,8,15,19,-12
3,MEM,ORL,04/26/2012,240,W,88,34,72,47.2,2,12,16.7,18,22,81.8,9,36,45,18,6,5,14,16,12
4,NJN,TOR,04/26/2012,240,L,67,25,83,30.1,6,18,33.3,11,16,68.8,12,27,39,15,9,2,15,15,-31
5,TOR,NJN,04/26/2012,240,W,98,37,88,42.0,10,19,52.6,14,18,77.8,15,43,58,23,7,5,14,12,31
6,MIA,WAS,04/26/2012,240,L,70,24,67,35.8,4,18,22.2,18,24,75.0,7,24,31,11,7,5,22,16,-34
7,WAS,MIA,04/26/2012,240,W,104,42,76,55.3,5,10,50.0,15,24,62.5,7,36,43,27,15,3,16,21,34
8,MIN,DEN,04/26/2012,240,L,102,40,89,44.9,10,27,37.0,12,19,63.2,8,21,29,22,5,4,13,14,-29
9,DEN,MIN,04/26/2012,240,W,131,56,89,62.9,5,10,50.0,14,20,70.0,12,36,48,30,9,4,16,22,29
10,LAL,SAC,04/26/2012,240,L,96,41,91,45.1,7,15,46.7,7,9,77.8,11,30,41,27,4,3,15,14,-17
11,SAC,LAL,04/26/2012,240,W,113,47,92,51.1,6,15,40.0,13,18,72.2,14,34,48,21,6,7,8,10,17
12,ATL,DAL,04/26/2012,240,W,106,45,85,52.9,9,27,33.3,7,9,77.8,5,36,41,28,8,3,16,17,17
13,DAL,ATL,04/26/2012,240,L,89,33,78,42.3,5,15,33.3,18,23,78.3,9,31,40,20,9,3,16,11,-17
14,UTA,POR,04/26/2012,240,W,96,35,83,42.2,6,19,31.6,20,27,74.1,13,35,48,15,10,8,12,18,2
15,POR,UTA,04/26/2012,240,L,94,36,80,45.0,6,25,24.0,16,19,84.2,6,30,36,24,8,3,14,19,-2
16,PHI,DET,04/26/2012,240,L,86,34,87,39.1,5,15,33.3,13,16,81.3,18,28,46,21,6,1,11,12,-22
17,DET,PHI,04/26/2012,240,W,108,41,81,50.6,14,32,43.8,12,16,75.0,10,33,43,29,6,5,13,14,22
18,NOH,HOU,04/26/2012,240,L,77,27,68,39.7,5,15,33.3,18,30,60.0,5,39,44,15,10,5,15,14,-7
19,HOU,NOH,04/26/2012,240,W,84,32,91,35.2,9,28,32.1,11,14,78.6,16,40,56,21,7,5,11,21,7
20,BOS,MIL,04/26/2012,240,W,87,35,87,40.2,8,24,33.3,9,11,81.8,6,38,44,27,14,7,15,18,13
21,MIL,BOS,04/26/2012,240,L,74,29,78,37.2,2,9,22.2,14,23,60.9,11,38,49,17,11,4,23,14,-13
22,CHI,CLE,04/26/2012,240,W,107,45,85,52.9,5,16,31.3,12,17,70.6,12,48,60,29,5,7,9,17,32
23,CLE,CHI,04/26/2012,240,L,75,28,87,32.2,2,13,15.4,17,26,65.4,13,25,38,8,4,3,9,9,-32
24,SAS,GSW,04/26/2012,240,W,107,42,96,43.8,9,31,29.0,14,17,82.4,19,35,54,27,7,5,13,14,6
25,GSW,SAS,04/26/2012,240,L,101,45,87,51.7,2,8,25.0,9,12,75.0,8,34,42,25,8,5,16,14,-6
26,DEN,OKC,04/25/2012,240,W,106,40,90,44.4,8,23,34.8,18,30,60.0,17,25,42,21,8,4,11,20,5
27,OKC,DEN,04/25/2012,240,L,101,39,79,49.4,10,24,41.7,13,15,86.7,11,26,37,18,6,13,18,26,-5
28,CHI,IND,04/25/2012,240,W,92,38,81,46.9,6,17,35.3,10,10,100,9,35,44,27,5,5,13,17,5
29,IND,CHI,04/25/2012,240,L,87,35,80,43.8,6,14,42.9,11,16,68.8,7,27,34,16,9,4,11,10,-5
30,MIL,PHI,04/25/2012,240,L,85,36,81,44.4,6,16,37.5,7,9,77.8,9,43,52,26,8,11,21,14,-5
31,PHI,MIL,04/25/2012,240,W,90,36,101,35.6,5,16,31.3,13,18,72.2,16,35,51,24,12,6,11,9,5
32,CLE,WAS,04/25/2012,240,L,85,34,77,44.2,4,17,23.5,13,18,72.2,11,31,42,18,10,2,18,18,-11
33,WAS,CLE,04/25/2012,240,W,96,40,91,44.0,4,16,25.0,12,16,75.0,20,30,50,21,12,4,15,19,11
34,ORL,CHA,04/25/2012,240,W,102,33,82,40.2,14,38,36.8,22,28,78.6,15,32,47,21,6,2,13,28,7
35,CHA,ORL,04/25/2012,240,L,95,31,70,44.3,5,17,29.4,28,32,87.5,6,31,37,18,3,5,13,24,-7
36,PHX,SAS,04/25/2012,240,L,106,45,94,47.9,5,13,38.5,11,13,84.6,12,31,43,19,5,8,15,16,-4
37,SAS,PHX,04/25/2012,240,W,110,41,88,46.6,8,22,36.4,20,23,87.0,12,33,45,23,6,2,14,19,4
38,LAC,NYK,04/25/2012,240,L,93,34,70,48.6,11,25,44.0,14,25,56.0,9,31,40,19,6,3,14,20,-6
39,NYK,LAC,04/25/2012,240,W,99,36,77,46.8,9,24,37.5,18,24,75.0,8,28,36,18,9,2,8,18,6
40,SAC,OKC,04/24/2012,240,L,110,43,82,52.4,4,16,25.0,20,27,74.1,6,28,34,19,10,8,12,20,-8
41,OKC,SAC,04/24/2012,240,W,118,38,81,46.9,9,20,45.0,33,36,91.7,12,31,43,22,5,8,14,24,8
42,LAC,ATL,04/24/2012,240,L,102,40,80,50.0,8,19,42.1,14,20,70.0,9,26,35,18,9,4,14,14,-7
43,ATL,LAC,04/24/2012,240,W,109,43,86,50.0,11,24,45.8,12,14,85.7,14,28,42,24,7,4,15,17,7
44,UTA,PHX,04/24/2012,240,W,100,37,87,42.5,4,13,30.8,22,29,75.9,14,42,56,23,9,8,13,21,12
45,PHX,UTA,04/24/2012,240,L,88,34,84,40.5,5,23,21.7,15,23,65.2,6,36,42,18,5,3,15,22,-12
46,MIA,BOS,04/24/2012,240,L,66,28,73,38.4,6,17,35.3,4,7,57.1,8,36,44,20,7,6,25,19,-12
47,BOS,MIA,04/24/2012,240,W,78,32,74,43.2,4,12,33.3,10,16,62.5,4,34,38,15,11,6,15,11,12
48,GSW,NOH,04/24/2012,240,L,81,33,79,41.8,6,14,42.9,9,13,69.2,9,28,37,18,6,6,15,19,-2
49,NOH,GSW,04/24/2012,240,W,83,31,71,43.7,2,5,40.0,19,31,61.3,14,29,43,22,9,6,14,17,2
50,CLE,MEM,04/23/2012,240,L,101,37,80,46.3,11,24,45.8,16,22,72.7,13,23,36,19,8,5,17,21,-8
51,MEM,CLE,04/23/2012,240,W,109,38,81,46.9,5,13,38.5,28,36,77.8,17,25,42,18,14,8,13,19,8
52,WAS,CHA,04/23/2012,240,W,101,46,83,55.4,2,18,11.1,7,12,58.3,9,36,45,28,12,5,18,25,28
53,CHA,WAS,04/23/2012,240,L,73,25,73,34.2,4,15,26.7,19,23,82.6,10,25,35,12,6,4,24,14,-28
54,IND,DET,04/23/2012,240,W,103,35,92,38.0,4,15,26.7,29,38,76.3,22,34,56,21,13,4,15,20,6
55,DET,IND,04/23/2012,240,L,97,38,83,45.8,8,16,50.0,13,22,59.1,15,27,42,16,8,9,18,26,-6
56,MIL,TOR,04/23/2012,240,W,92,29,78,37.2,6,17,35.3,28,36,77.8,11,32,43,16,10,7,11,17,6
57,TOR,MIL,04/23/2012,240,L,86,34,76,44.7,4,14,28.6,14,18,77.8,10,39,49,24,5,3,22,26,-6
58,PHI,NJN,04/23/2012,240,W,105,43,80,53.8,5,14,35.7,14,17,82.4,7,26,33,25,6,8,7,16,18
59,NJN,PHI,04/23/2012,240,L,87,31,72,43.1,4,14,28.6,21,23,91.3,7,28,35,15,3,2,15,16,-18
60,POR,SAS,04/23/2012,240,L,89,37,96,38.5,6,16,37.5,9,11,81.8,14,24,38,19,10,5,14,18,-35
61,SAS,POR,04/23/2012,240,W,124,48,81,59.3,12,22,54.5,16,21,76.2,8,39,47,34,11,8,16,9,35
62,CHA,SAC,04/22/2012,240,L,88,39,89,43.8,2,15,13.3,8,14,57.1,16,29,45,28,3,8,21,15,-26
63,SAC,CHA,04/22/2012,240,W,114,48,87,55.2,3,9,33.3,15,20,75.0,9,28,37,23,13,6,8,19,26
64,GSW,MIN,04/22/2012,240,W,93,41,92,44.6,5,16,31.3,6,10,60.0,11,34,45,18,6,7,9,17,5
65,MIN,GSW,04/22/2012,240,L,88,30,82,36.6,7,26,26.9,21,21,100,9,37,46,18,1,10,13,13,-5
