,team,opponent,date,min,win_or_lose,score,FGM,FGA,FG%,FG3M,FG3A,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
0,WAS,ATL,04/13/2016,240,W,109,42,88,47.7,9,28,32.1,16,30,53.3,11,40,51,25,14,4,19,22,11
1,ATL,WAS,04/13/2016,240,L,98,32,81,39.5,11,30,36.7,23,31,74.2,9,38,47,22,13,5,23,21,-11
2,NOP,MIN,04/13/2016,240,L,109,40,92,43.5,11,30,36.7,18,22,81.8,10,23,33,31,7,0,16,16,-35
3,MIN,NOP,04/13/2016,240,W,144,56,86,65.1,13,28,46.4,19,23,82.6,5,38,43,41,14,8,13,20,35
4,ORL,CHA,04/13/2016,240,L,103,42,91,46.2,8,27,29.6,11,18,61.1,5,34,39,22,7,4,10,18,-14
5,CHA,ORL,04/13/2016,240,W,117,47,86,54.7,11,29,37.9,12,19,63.2,5,41,46,32,6,5,10,14,14
6,SAS,DAL,04/13/2016,240,W,96,35,74,47.3,6,23,26.1,20,26,76.9,8,34,42,24,8,3,15,19,5
7,DAL,SAS,04/13/2016,240,L,91,31,77,40.3,12,39,30.8,17,21,81.0,11,30,41,20,8,2,12,23,-5
8,IND,MIL,04/13/2016,240,W,97,39,90,43.3,11,24,45.8,8,10,80.0,12,36,48,28,8,3,17,14,5
9,MIL,IND,04/13/2016,240,L,92,37,87,42.5,7,23,30.4,11,13,84.6,7,36,43,23,8,3,15,15,-5
10,DEN,POR,04/13/2016,240,L,99,40,94,42.6,7,25,28.0,12,18,66.7,20,33,53,24,10,6,20,19,-8
11,POR,DEN,04/13/2016,240,W,107,39,89,43.8,11,36,30.6,18,22,81.8,13,32,45,19,11,8,17,19,8
12,HOU,SAC,04/13/2016,240,W,116,47,97,48.5,10,35,28.6,12,19,63.2,14,41,55,33,11,7,14,15,35
13,SAC,HOU,04/13/2016,240,L,81,32,96,33.3,11,37,29.7,6,13,46.2,15,34,49,21,11,4,20,17,-35
14,CLE,DET,04/13/2016,265,L,110,46,97,47.4,7,18,38.9,11,15,73.3,8,35,43,21,4,7,10,23,-2
15,DET,CLE,04/13/2016,265,W,112,37,85,43.5,16,33,48.5,22,28,78.6,9,38,47,24,5,11,12,15,2
16,MIA,BOS,04/13/2016,240,L,88,38,88,43.2,2,19,10.5,10,12,83.3,14,30,44,14,5,10,10,21,-10
17,BOS,MIA,04/13/2016,240,W,98,37,86,43.0,5,14,35.7,19,22,86.4,10,29,39,20,7,3,7,20,10
18,BKN,TOR,04/13/2016,240,L,96,39,89,43.8,10,26,38.5,8,12,66.7,5,34,39,26,8,8,8,17,-7
