,team,opponent,date,min,win_or_lose,score,FGM,FGA,FG%,FG3M,FG3A,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
0,GSW,LAC,04/17/2002,240,W,107,39,83,47.0,5,10,50.0,24,28,85.7,9,38,47,25,11,10,14,25,4
1,LAC,GSW,04/17/2002,240,L,103,40,94,42.6,4,13,30.8,19,22,86.4,14,31,45,25,7,7,14,25,-4
2,CHH,CHI,04/17/2002,240,W,112,39,82,47.6,1,7,14.3,33,41,80.5,17,22,39,25,13,4,14,21,6
3,CHI,CHH,04/17/2002,240,L,106,41,76,53.9,5,11,45.5,19,29,65.5,13,25,38,22,6,5,22,27,-6
4,BOS,ATL,04/17/2002,240,W,89,35,82,42.7,11,25,44.0,8,9,88.9,13,36,49,25,8,7,20,19,8
5,ATL,BOS,04/17/2002,240,L,81,29,83,34.9,2,9,22.2,21,27,77.8,16,32,48,20,11,7,13,10,-8
6,TOR,CLE,04/17/2002,240,W,103,38,79,48.1,5,13,38.5,22,29,75.9,11,31,42,23,14,4,15,25,18
7,CLE,TOR,04/17/2002,240,L,85,31,80,38.8,7,17,41.2,16,21,76.2,11,25,36,18,5,2,19,20,-18
8,ORL,MIA,04/17/2002,240,L,89,32,80,40.0,8,21,38.1,17,20,85.0,5,29,34,16,5,2,12,14,-14
9,MIA,ORL,04/17/2002,240,W,103,45,85,52.9,6,9,66.7,7,9,77.8,7,37,44,33,9,4,13,19,14
10,DET,MIL,04/17/2002,240,W,123,44,80,55.0,15,24,62.5,20,26,76.9,12,35,47,31,7,4,17,23,34
11,MIL,DET,04/17/2002,240,L,89,36,81,44.4,2,16,12.5,15,21,71.4,11,23,34,20,7,2,14,30,-34
12,DEN,MIN,04/17/2002,240,L,90,36,85,42.4,5,14,35.7,13,17,76.5,15,17,32,25,10,4,10,18,-14
13,MIN,DEN,04/17/2002,240,W,104,40,79,50.6,5,12,41.7,19,21,90.5,18,30,48,25,6,5,17,22,14
14,PHX,DAL,04/17/2002,240,W,89,34,79,43.0,5,18,27.8,16,21,76.2,11,36,47,27,9,3,12,13,13
15,DAL,PHX,04/17/2002,240,L,76,30,84,35.7,6,20,30.0,10,12,83.3,12,32,44,17,10,7,13,12,-13
16,MEM,SEA,04/17/2002,240,L,94,36,72,50.0,7,18,38.9,15,24,62.5,13,24,37,26,6,4,23,22,-15
17,SEA,MEM,04/17/2002,240,W,109,42,80,52.5,5,8,62.5,20,25,80.0,15,21,36,27,11,0,15,23,15
18,POR,HOU,04/17/2002,240,W,92,38,80,47.5,5,11,45.5,11,15,73.3,10,29,39,28,5,7,11,15,13
19,HOU,POR,04/17/2002,240,L,79,33,79,41.8,3,16,18.8,10,12,83.3,12,30,42,19,5,6,15,17,-13
20,LAL,SAC,04/17/2002,240,W,109,44,101,43.6,8,24,33.3,13,16,81.3,15,35,50,22,12,2,10,23,14
21,SAC,LAL,04/17/2002,240,L,95,38,84,45.2,5,18,27.8,14,19,73.7,10,37,47,13,6,3,17,13,-14
22,NYK,NJN,04/17/2002,240,L,94,38,86,44.2,6,24,25.0,12,12,100,16,35,51,21,5,2,20,25,-5
