,team,opponent,date,min,win_or_lose,score,FGM,FGA,FG%,FG3M,FG3A,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
0,SAS,NOH,04/15/2009,265,W,105,42,85,49.4,6,20,30.0,15,20,75.0,9,37,46,20,5,2,14,23,7
1,NOH,SAS,04/15/2009,265,L,98,39,80,48.8,6,14,42.9,14,21,66.7,3,30,33,19,6,3,10,21,-7
2,OKC,LAC,04/15/2009,240,W,126,48,89,53.9,4,12,33.3,26,32,81.3,12,37,49,36,17,4,13,15,41
3,LAC,OKC,04/15/2009,240,L,85,35,80,43.8,5,19,26.3,10,14,71.4,5,27,32,16,7,6,22,23,-41
4,MEM,ATL,04/15/2009,240,W,98,37,73,50.7,3,8,37.5,21,31,67.7,7,36,43,19,9,10,11,16,8
5,ATL,MEM,04/15/2009,240,L,90,33,76,43.4,6,17,35.3,18,24,75.0,8,32,40,13,2,4,14,27,-8
6,NYK,NJN,04/15/2009,240,W,102,38,85,44.7,7,24,29.2,19,22,86.4,14,35,49,17,9,4,10,17,29
7,NJN,NYK,04/15/2009,240,L,73,26,83,31.3,4,13,30.8,17,19,89.5,20,29,49,12,6,6,20,19,-29
8,PHX,GSW,04/15/2009,240,W,117,40,94,42.6,7,17,41.2,30,42,71.4,21,27,48,22,9,7,8,21,4
9,GSW,PHX,04/15/2009,240,L,113,43,93,46.2,5,17,29.4,22,28,78.6,20,31,51,20,5,8,16,25,-4
10,DAL,HOU,04/15/2009,240,W,95,37,77,48.1,6,13,46.2,15,19,78.9,6,35,41,24,3,4,11,23,11
11,HOU,DAL,04/15/2009,240,L,84,33,82,40.2,4,17,23.5,14,18,77.8,7,32,39,19,6,6,11,20,-11
12,SAC,MIN,04/15/2009,240,W,97,34,74,45.9,7,17,41.2,22,28,78.6,10,30,40,18,8,5,15,25,7
13,MIN,SAC,04/15/2009,240,L,90,32,76,42.1,7,25,28.0,19,28,67.9,13,28,41,20,6,0,15,25,-7
14,DEN,POR,04/15/2009,240,L,76,28,83,33.7,5,16,31.3,15,16,93.8,14,26,40,9,7,4,16,20,-28
15,POR,DEN,04/15/2009,240,W,104,39,74,52.7,13,22,59.1,13,18,72.2,7,38,45,29,8,5,16,19,28
16,IND,MIL,04/15/2009,240,W,115,39,82,47.6,12,21,57.1,25,30,83.3,14,39,53,27,10,12,18,13,7
17,MIL,IND,04/15/2009,240,L,108,44,102,43.1,7,20,35.0,13,15,86.7,16,29,45,30,12,6,11,21,-7
18,MIA,DET,04/15/2009,265,W,102,39,84,46.4,12,24,50.0,12,19,63.2,15,36,51,20,2,5,15,22,6
19,DET,MIA,04/15/2009,265,L,96,36,87,41.4,2,13,15.4,22,31,71.0,17,27,44,13,6,4,7,19,-6
20,TOR,CHI,04/15/2009,240,W,109,44,92,47.8,4,10,40.0,17,21,81.0,16,41,57,27,5,3,13,22,11
21,CHI,TOR,04/15/2009,240,L,98,39,92,42.4,3,14,21.4,17,22,77.3,11,29,40,20,8,6,7,17,-11
22,CHA,ORL,04/15/2009,240,L,73,24,68,35.3,2,12,16.7,23,34,67.6,8,35,43,15,5,5,13,21,-25
23,ORL,CHA,04/15/2009,240,W,98,37,81,45.7,10,23,43.5,14,22,63.6,11,34,45,23,7,6,8,22,25
24,WAS,BOS,04/15/2009,240,L,107,38,77,49.4,7,20,35.0,24,30,80.0,8,27,35,15,9,8,14,26,-8
25,BOS,WAS,04/15/2009,240,W,115,45,85,52.9,10,18,55.6,15,24,62.5,12,29,41,29,6,2,16,25,8
26,PHI,CLE,04/15/2009,265,W,111,38,72,52.8,3,9,33.3,32,43,74.4,11,25,36,18,12,5,16,17,1
27,CLE,PHI,04/15/2009,265,L,110,46,89,51.7,10,24,41.7,8,12,66.7,14,22,36,26,6,5,18,31,-1
28,PHI,BOS,04/14/2009,240,L,98,38,82,46.3,3,12,25.0,19,25,76.0,12,26,38,21,8,7,11,20,-2
29,BOS,PHI,04/14/2009,240,W,100,41,79,51.9,9,16,56.3,9,17,52.9,13,28,41,24,10,7,15,23,2
30,MIA,ATL,04/14/2009,240,L,79,31,78,39.7,9,33,27.3,8,14,57.1,12,33,45,21,6,7,17,20,-2
