,team,opponent,date,min,win_or_lose,score,FGM,FGA,FG%,FG3M,FG3A,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
0,SAS,NOP,04/15/2015,240,L,103,45,79,57.0,3,10,30.0,10,13,76.9,4,32,36,33,2,3,15,20,-5
1,NOP,SAS,04/15/2015,240,W,108,43,83,51.8,5,10,50.0,17,25,68.0,7,28,35,23,11,7,9,18,5
2,IND,MEM,04/15/2015,240,L,83,32,78,41.0,8,24,33.3,11,15,73.3,13,23,36,15,7,8,13,26,-12
3,MEM,IND,04/15/2015,240,W,95,36,76,47.4,2,9,22.2,21,26,80.8,16,32,48,12,10,3,13,17,12
4,CHA,TOR,04/15/2015,240,L,87,30,71,42.3,12,33,36.4,15,16,93.8,8,28,36,15,8,3,14,10,-5
5,TOR,CHA,04/15/2015,240,W,92,38,77,49.4,12,33,36.4,4,4,100,5,27,32,27,8,3,11,16,5
6,OKC,MIN,04/15/2015,240,W,138,52,95,54.7,12,28,42.9,22,31,71.0,18,28,46,22,10,6,13,25,25
7,MIN,OKC,04/15/2015,240,L,113,39,84,46.4,6,19,31.6,29,35,82.9,14,25,39,22,12,4,16,23,-25
8,DAL,POR,04/15/2015,240,W,114,39,86,45.3,9,25,36.0,27,34,79.4,12,42,54,18,9,5,16,17,16
9,POR,DAL,04/15/2015,240,L,98,38,91,41.8,7,25,28.0,15,18,83.3,12,33,45,20,7,4,19,22,-16
10,MIL,BOS,04/15/2015,240,L,100,41,89,46.1,7,21,33.3,11,16,68.8,16,32,48,35,7,2,17,17,-5
11,BOS,MIL,04/15/2015,240,W,105,42,85,49.4,13,30,43.3,8,14,57.1,8,30,38,37,9,5,17,16,5
12,HOU,UTA,04/15/2015,240,W,117,41,76,53.9,12,28,42.9,23,34,67.6,4,45,49,28,9,13,19,19,26
13,UTA,HOU,04/15/2015,240,L,91,38,101,37.6,5,27,18.5,10,18,55.6,14,30,44,23,12,6,15,21,-26
