,team,opponent,date,min,win_or_lose,score,FGM,FGA,FG%,FG3M,FG3A,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
0,POR,PHX,05/13/2021,240,L,117,44,81,54.3,15,33,45.5,14,18,77.8,1,32,33,23,7,3,13,18,-1
1,PHX,POR,05/13/2021,240,W,118,41,88,46.6,13,32,40.6,23,26,88.5,10,32,42,22,4,3,11,17,1
2,MEM,SAC,05/13/2021,240,W,116,45,90,50.0,11,33,33.3,15,18,83.3,12,36,48,30,2,9,18,13,6
3,SAC,MEM,05/13/2021,240,L,110,42,96,43.8,17,41,41.5,9,14,64.3,13,22,35,33,9,9,11,16,-6
4,MIN,DEN,05/13/2021,240,L,103,34,80,42.5,16,41,39.0,19,32,59.4,11,32,43,20,3,5,15,17,-11
5,DEN,MIN,05/13/2021,240,W,114,46,96,47.9,12,36,33.3,10,11,90.9,14,39,53,30,6,3,14,25,11
6,TOR,CHI,05/13/2021,240,L,102,40,90,44.4,12,36,33.3,10,18,55.6,7,26,33,24,15,1,11,14,-12
7,CHI,TOR,05/13/2021,240,W,114,45,83,54.2,17,36,47.2,7,10,70.0,7,43,50,31,4,4,18,15,12
8,ORL,ATL,05/13/2021,240,L,93,36,94,38.3,11,36,30.6,10,15,66.7,16,35,51,24,3,6,14,16,-23
9,ATL,ORL,05/13/2021,240,W,116,41,94,43.6,14,36,38.9,20,24,83.3,12,37,49,19,9,4,7,16,23
10,PHI,MIA,05/13/2021,240,L,94,36,78,46.2,7,25,28.0,15,20,75.0,8,22,30,20,8,1,13,18,-12
11,MIA,PHI,05/13/2021,240,W,106,41,81,50.6,13,35,37.1,11,11,100,15,32,47,26,5,6,20,15,12
12,SAS,NYK,05/13/2021,240,L,98,38,91,41.8,6,21,28.6,16,19,84.2,9,38,47,22,4,6,11,16,-4
13,NYK,SAS,05/13/2021,240,W,102,35,86,40.7,14,35,40.0,18,18,100,10,38,48,23,7,8,10,19,4
14,IND,MIL,05/13/2021,240,L,133,50,110,45.5,21,43,48.8,12,15,80.0,12,28,40,34,6,2,8,22,-9
15,MIL,IND,05/13/2021,240,W,142,54,94,57.4,11,30,36.7,23,31,74.2,10,41,51,34,5,6,12,10,9
16,CHA,LAC,05/13/2021,240,L,90,33,84,39.3,9,33,27.3,15,19,78.9,8,27,35,24,9,1,12,15,-23
17,LAC,CHA,05/13/2021,240,W,113,40,75,53.3,21,45,46.7,12,16,75.0,6,38,44,28,6,6,17,17,23
18,HOU,LAL,05/12/2021,240,L,122,43,85,50.6,18,42,42.9,18,27,66.7,8,33,41,33,7,4,15,23,-2
19,LAL,HOU,05/12/2021,240,W,124,52,91,57.1,7,20,35.0,13,22,59.1,8,33,41,28,8,3,11,20,2
20,UTA,POR,05/12/2021,240,L,98,35,85,41.2,12,40,30.0,16,21,76.2,15,38,53,15,4,4,12,22,-7
21,POR,UTA,05/12/2021,240,W,105,40,91,44.0,13,32,40.6,12,17,70.6,9,30,39,17,7,6,5,18,7
22,DAL,NOP,05/12/2021,240,W,125,47,96,49.0,15,45,33.3,16,20,80.0,9,39,48,23,4,2,8,27,18
23,NOP,DAL,05/12/2021,240,L,107,36,87,41.4,7,28,25.0,28,38,73.7,11,33,44,18,5,2,13,18,-18
24,BKN,SAS,05/12/2021,240,W,128,48,79,60.8,12,28,42.9,20,27,74.1,3,40,43,33,3,9,11,19,12
25,SAS,BKN,05/12/2021,240,L,116,43,101,42.6,8,31,25.8,22,27,81.5,16,30,46,21,7,2,8,19,-12
26,BOS,CLE,05/12/2021,240,L,94,36,101,35.6,12,41,29.3,10,14,71.4,13,33,46,14,9,8,7,23,-8
27,CLE,BOS,05/12/2021,240,W,102,36,80,45.0,8,24,33.3,22,27,81.5,7,48,55,27,4,6,16,13,8
28,ATL,WAS,05/12/2021,240,W,120,44,86,51.2,10,33,30.3,22,28,78.6,7,44,51,22,4,5,14,21,4
29,WAS,ATL,05/12/2021,240,L,116,45,101,44.6,10,29,34.5,16,19,84.2,9,33,42,29,10,1,7,20,-4
30,NYK,LAL,05/11/2021,265,L,99,34,87,39.1,10,29,34.5,21,23,91.3,5,36,41,19,8,3,10,21,-2
31,LAL,NYK,05/11/2021,265,W,101,37,89,41.6,12,28,42.9,15,19,78.9,14,39,53,31,5,5,20,17,2
32,GSW,PHX,05/11/2021,240,W,122,47,95,49.5,11,40,27.5,17,20,85.0,12,28,40,33,8,1,10,20,6
33,PHX,GSW,05/11/2021,240,L,116,41,79,51.9,16,37,43.2,18,20,90.0,6,30,36,26,4,6,11,20,-6
34,SAC,OKC,05/11/2021,240,W,122,44,86,51.2,19,39,48.7,15,19,78.9,6,34,40,28,13,6,16,21,16
35,OKC,SAC,05/11/2021,240,L,106,39,84,46.4,9,23,39.1,19,28,67.9,9,36,45,22,9,5,18,18,-16
36,ORL,MIL,05/11/2021,240,L,102,39,94,41.5,10,30,33.3,14,20,70.0,10,42,52,18,6,2,12,20,-12
37,MIL,ORL,05/11/2021,240,W,114,43,101,42.6,8,33,24.2,20,27,74.1,17,46,63,16,10,1,9,15,12
38,BKN,CHI,05/11/2021,240,W,115,42,89,47.2,12,33,36.4,19,25,76.0,13,38,51,32,4,8,8,19,8
39,CHI,BKN,05/11/2021,240,L,107,39,96,40.6,18,44,40.9,11,14,78.6,10,35,45,21,4,5,9,20,-8
40,MEM,DAL,05/11/2021,240,W,133,51,89,57.3,16,33,48.5,15,16,93.8,10,34,44,32,11,6,11,16,29
41,DAL,MEM,05/11/2021,240,L,104,37,88,42.0,12,38,31.6,18,19,94.7,13,22,35,23,8,2,13,15,-29
42,PHI,IND,05/11/2021,240,L,94,38,87,43.7,8,26,30.8,10,14,71.4,5,30,35,23,9,5,11,17,-9
43,IND,PHI,05/11/2021,240,W,103,37,83,44.6,14,41,34.1,15,16,93.8,7,38,45,28,7,6,14,15,9
44,MIA,BOS,05/11/2021,240,W,129,48,81,59.3,16,30,53.3,17,22,77.3,6,37,43,25,7,4,14,21,8
45,BOS,MIA,05/11/2021,240,L,121,46,88,52.3,18,37,48.6,11,17,64.7,3,29,32,31,8,5,11,21,-8
46,TOR,LAC,05/11/2021,240,L,96,35,86,40.7,10,37,27.0,16,19,84.2,9,26,35,21,10,8,13,22,-19
47,LAC,TOR,05/11/2021,240,W,115,39,78,50.0,11,32,34.4,26,26,100,9,40,49,25,10,4,18,17,19
48,MIN,DET,05/11/2021,240,W,119,45,98,45.9,14,48,29.2,15,21,71.4,11,33,44,30,16,8,15,22,19
