,team,opponent,date,min,win_or_lose,score,FGM,FGA,FG%,FG3M,FG3A,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
0,DEN,TOR,08/14/2020,240,L,109,36,87,41.4,16,38,42.1,21,23,91.3,9,32,41,27,9,11,16,15,-8
1,TOR,DEN,08/14/2020,240,W,117,45,90,50.0,18,35,51.4,9,14,64.3,13,38,51,27,8,5,19,24,8
2,MIA,IND,08/14/2020,240,L,92,31,87,35.6,10,38,26.3,20,27,74.1,14,34,48,14,6,5,19,15,-17
3,IND,MIA,08/14/2020,240,W,109,43,89,48.3,15,38,39.5,8,11,72.7,12,39,51,32,11,3,20,27,17
4,HOU,PHI,08/14/2020,240,L,96,35,80,43.8,12,48,25.0,14,16,87.5,1,26,27,25,10,9,17,18,-38
5,PHI,HOU,08/14/2020,240,W,134,49,87,56.3,18,38,47.4,18,22,81.8,8,43,51,31,8,4,16,19,38
6,LAC,OKC,08/14/2020,265,W,107,34,85,40.0,12,37,32.4,27,39,69.2,12,49,61,23,10,2,23,22,4
7,OKC,LAC,08/14/2020,265,L,103,38,106,35.8,14,44,31.8,13,22,59.1,11,37,48,18,5,6,16,29,-4
8,MIL,MEM,08/13/2020,240,L,106,39,98,39.8,13,41,31.7,15,23,65.2,9,36,45,27,8,3,15,22,-13
9,MEM,MIL,08/13/2020,240,W,119,45,90,50.0,13,33,39.4,16,23,69.6,9,46,55,36,4,3,18,18,13
10,SAS,UTA,08/13/2020,240,L,112,39,79,49.4,10,20,50.0,24,36,66.7,9,35,44,24,4,8,15,20,-6
11,UTA,SAS,08/13/2020,240,W,118,47,101,46.5,15,46,32.6,9,10,90.0,12,31,43,25,7,5,9,23,6
12,NOP,ORL,08/13/2020,240,L,127,48,87,55.2,10,34,29.4,21,27,77.8,9,31,40,22,6,4,13,22,-6
13,ORL,NOP,08/13/2020,240,W,133,48,84,57.1,15,28,53.6,22,30,73.3,6,27,33,25,6,2,12,22,6
14,WAS,BOS,08/13/2020,240,W,96,34,88,38.6,10,26,38.5,18,24,75.0,18,38,56,22,11,6,18,19,6
15,BOS,WAS,08/13/2020,240,L,90,35,88,39.8,8,35,22.9,12,14,85.7,13,38,51,22,8,7,19,19,-6
16,POR,BKN,08/13/2020,240,W,134,50,104,48.1,13,39,33.3,21,24,87.5,14,28,42,25,10,4,9,21,1
17,BKN,POR,08/13/2020,240,L,133,53,96,55.2,14,33,42.4,13,19,68.4,12,34,46,28,5,5,14,23,-1
18,DAL,PHX,08/13/2020,240,L,102,39,89,43.8,8,26,30.8,16,19,84.2,11,32,43,17,3,4,11,18,-26
19,PHX,DAL,08/13/2020,240,W,128,49,89,55.1,14,34,41.2,16,21,76.2,7,38,45,34,6,4,6,14,26
